obs,Q10,Q7,Q23,Q5,Q6,Q3,Q4,Q18,Jeu,Cluster,Score_Propension,Prediction,Interet_Carte,Prediction_Interet
110,1,3,2,1,2,2,4,3,train,1,0.7712260725119525,1,Oui,Oui
111,1,2,1,1,3,2,2,2,train,0,0.7816103047519499,1,Oui,Oui
112,1,3,1,1,1,7,3,2,train,0,0.882199456532489,1,Oui,Oui
113,1,3,1,1,1,3,3,1,train,0,0.700738927272756,1,Oui,Oui
114,2,0,1,2,3,3,1,5,test,2,0.05941723629026411,0,Non,Non
115,2,2,1,1,2,4,5,2,train,2,0.4841604230124992,0,Non,Non
116,1,0,2,2,0,7,3,2,train,0,0.38399392318006054,0,Oui,Non
117,1,3,1,1,2,2,3,2,train,0,0.9404769343221504,1,Oui,Oui
118,2,3,1,1,2,1,4,4,train,2,0.3906404455145283,0,Non,Non
119,2,4,1,1,3,2,3,2,test,0,0.9200318237204278,1,Non,Oui
120,2,3,0,1,1,3,3,3,train,0,0.5410701140431469,1,Non,Oui
121,2,0,2,2,0,5,6,4,train,2,0.03821363811487167,0,Non,Non
122,2,2,2,1,2,7,3,4,train,2,0.1946216323620267,0,Non,Non
123,1,0,1,2,0,5,6,3,train,2,0.1936271933176256,0,Oui,Non
124,1,4,1,1,2,1,4,4,train,1,0.5138017444320759,1,Oui,Oui
125,2,0,1,2,0,3,6,5,train,2,0.07536796003301359,0,Non,Non
126,2,0,1,2,0,3,4,1,train,0,0.12841859377360262,0,Non,Non
127,1,2,1,1,1,1,4,2,train,0,0.732970434458202,1,Oui,Oui
128,1,4,1,1,1,2,1,2,train,0,0.9611541105445914,1,Oui,Oui
129,2,3,1,1,2,3,5,4,train,2,0.13419050901558818,0,Non,Non
130,1,2,1,1,2,6,4,3,train,1,0.467525805237279,0,Oui,Non
131,2,2,1,1,3,5,2,4,train,2,0.1314532065923525,0,Non,Non
132,1,6,1,1,1,2,3,5,train,2,0.8961559468327117,1,Oui,Oui
133,1,2,2,1,3,2,1,2,test,0,0.6403614646667312,1,Oui,Oui
134,2,3,2,1,3,2,3,5,test,2,0.4884834863543605,0,Non,Non
135,2,0,2,2,0,6,6,3,train,2,0.1786491441227554,0,Non,Non
136,2,0,2,2,0,3,6,5,train,2,0.05614651853717461,0,Non,Non
137,2,2,1,1,3,6,3,2,test,0,0.5701878866485598,1,Non,Oui
138,1,2,1,1,1,1,2,4,train,1,0.4133353081694453,0,Oui,Non
139,2,1,2,1,3,6,3,4,test,2,0.15875305022583847,0,Non,Non
140,2,2,1,1,1,6,4,4,train,2,0.19053201761572994,0,Non,Non
141,1,2,1,1,1,3,4,2,train,0,0.6022809369353982,1,Oui,Oui
142,2,3,1,1,1,5,4,4,train,2,0.30354478989843187,0,Non,Non
143,2,1,1,1,2,1,5,2,train,2,0.6227083730323953,1,Non,Oui
144,2,3,2,1,1,6,4,4,train,1,0.2830486217515226,0,Non,Non
145,1,4,1,1,2,1,2,5,test,1,0.7789019401704202,1,Oui,Oui
146,1,6,4,1,2,1,3,3,train,1,0.932772001302976,1,Oui,Oui
147,2,0,2,2,0,1,6,4,train,2,0.06463214998194418,0,Non,Non
148,2,0,0,2,0,6,5,2,train,2,0.07352845547171563,0,Non,Non
149,2,3,0,1,3,3,5,3,test,2,0.09623825482860494,0,Non,Non
150,2,0,2,2,0,3,5,4,train,2,0.015024401987554867,0,Non,Non
151,2,2,1,1,3,2,2,3,train,0,0.6547675415466727,1,Non,Oui
152,1,4,1,1,1,2,2,1,train,0,0.9308996674472385,1,Oui,Oui
153,1,2,1,1,2,1,2,3,train,0,0.7243779597847119,1,Oui,Oui
154,2,0,0,2,0,3,5,5,train,2,0.011371555396615652,0,Non,Non
155,1,4,1,1,3,5,2,2,train,0,0.8267605426679013,1,Oui,Oui
156,1,3,3,1,1,2,3,1,train,0,0.8996911175185921,1,Oui,Oui
157,1,3,3,1,2,1,2,4,train,1,0.6391767034554671,1,Oui,Oui
158,1,0,2,2,0,1,3,2,test,0,0.487657825340898,0,Oui,Non
159,2,4,1,1,3,5,3,3,test,0,0.6821195210085894,1,Non,Oui
160,2,0,1,2,2,5,2,4,test,1,0.12289741143187027,0,Non,Non
161,1,3,2,1,2,3,1,1,test,1,0.537294734359211,1,Oui,Oui
162,1,3,3,1,2,2,1,1,train,0,0.859050662898086,1,Oui,Oui
163,2,2,1,1,1,1,3,2,train,0,0.8326486639101119,1,Non,Oui
164,1,6,3,1,1,1,4,2,train,1,0.9526171571556767,1,Oui,Oui
165,2,2,2,1,3,3,6,5,train,2,0.07815319705980157,0,Non,Non
166,1,2,1,1,2,3,1,1,train,0,0.4090942130850484,0,Oui,Non
167,1,4,4,1,1,2,5,3,test,1,0.8125719239741872,1,Oui,Oui
168,2,0,0,2,0,3,5,5,train,2,0.011371555396615652,0,Non,Non
169,1,3,2,1,2,2,1,1,test,0,0.7747081219022212,1,Oui,Oui
170,1,0,1,2,0,2,5,1,test,0,0.16051561323781624,0,Oui,Non
171,1,4,3,1,3,7,2,2,train,1,0.8754800153277403,1,Oui,Oui
172,2,2,0,1,2,3,6,4,train,2,0.0561010966637179,0,Non,Non
173,1,2,1,1,2,2,2,4,train,1,0.49328847403691695,0,Oui,Non
174,2,1,2,1,3,7,3,4,test,1,0.14760724128913413,0,Non,Non
175,2,0,1,2,0,6,2,1,train,0,0.289364557543858,0,Non,Non
176,1,4,4,1,1,2,1,4,train,1,0.765621089513048,1,Oui,Oui
177,2,6,1,1,3,7,3,3,test,0,0.7850782751659368,1,Non,Oui
178,1,6,3,1,1,3,5,2,train,1,0.8293700751929024,1,Oui,Oui
179,2,0,1,2,3,2,3,1,train,0,0.3155061157564128,0,Non,Non
180,2,3,2,1,3,2,2,4,test,2,0.4190277736013833,0,Non,Non
181,1,2,2,1,2,6,3,2,train,0,0.6866945049378431,1,Oui,Oui
182,2,4,0,1,1,2,3,4,train,2,0.566142755732306,1,Non,Oui
183,1,3,1,1,2,4,1,1,train,0,0.7268354479122234,1,Oui,Oui
184,2,0,2,2,0,5,5,5,train,2,0.02420824779708121,0,Non,Non
185,1,0,1,2,0,2,1,1,test,0,0.3885379755216852,0,Oui,Non
186,1,4,3,1,2,2,1,4,train,1,0.7648309974682204,1,Oui,Oui
187,1,5,1,1,2,3,3,4,test,1,0.45651687846347383,0,Oui,Non
188,2,2,2,1,3,2,4,4,test,2,0.12808538601397781,0,Non,Non
189,1,0,1,2,0,3,6,1,train,0,0.1389445152885745,0,Oui,Non
190,1,3,1,1,3,1,2,1,train,0,0.6514185814744343,1,Oui,Oui
191,2,4,1,1,2,2,1,2,test,0,0.9543929815234424,1,Non,Oui
192,1,3,1,1,2,2,2,1,test,0,0.8736066582236047,1,Oui,Oui
193,1,2,2,1,1,2,2,2,train,1,0.8748661384726035,1,Oui,Oui
194,2,2,1,1,1,7,6,4,train,2,0.19130014873700885,0,Non,Non
